AtcoCode,Direction,PlateCode,Latitude,Longitude,StopLoadDay,RoutesPassingThrough,RoutesPassingThroughCount,OperatorsPassingThrough,OperatorsPassingThroughCount,ShortCommonName_en,ShortCommonName_ga,isRTPI,HasPole,HasShelter,CarouselType,FlagData,StopAccessibility,WheelchairAccessibility
8220DB000770,1,770,53.31463619,-6.225731811,484," 116, 118, 145, 155, 32x, 46a, 46e, 7b, 7d, 904, 910",11," Dublin Bus, Matthews Coach Hire",2,RTE,RTÉ,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000770,0,770,53.31463619,-6.225731811,484," 25x, 39a, 41x, 66x, 67x, 700, 740, 740a",8," Aircoach, Dublin Bus, Wexford Bus",3,RTE,RTÉ,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000496,1,496,53.34949688,-6.252223579,482," 14, 27, 32x",3, Dublin Bus,1,Busáras,Busáras,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000496,0,496,53.34949688,-6.252223579,482," 130, 27a, 27x, 53, 6, h1, h2, h3",8, Dublin Bus,1,Busáras,Busáras,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000048,1,48,53.36225739,-6.258808412,477," 33, 41, 41b, 41c, 41d",5, Dublin Bus,1,Fitzroy Avenue,Ascaill Fitzroy,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000048,0,48,53.36225739,-6.258808412,477," 1, 11, 13, 16, 16d, 44, 900, 901",8," Dublin Bus, Matthews Coach Hire",2,Fitzroy Avenue,Ascaill Fitzroy,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000493,1,493,53.33985342,-6.247376823,468," 4, 7, 784, 7a, 7d",5," Dublin Bus, National Express",2,Holles Street,Sráid Holles,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000493,0,493,53.33985342,-6.247376823,468," 120, 25, 25a, 25b, 25d, 26, 27x, 66, 66a, 66b, 66e, 67, 784",13," Dublin Bus, National Express",2,Holles Street,Sráid Holles,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001077,1,1077,53.32157299,-6.266544985,465,18,1, Go-Ahead,1,Rathmines Garda Stn,Garda Ráth Maonais,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001077,0,1077,53.32157299,-6.266544985,465," 14, 15, 15a, 15b, 15d, 65, 65b, 83, 83a",9, Dublin Bus,1,Rathmines Garda Stn,Garda Ráth Maonais,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000495,1,495,53.34359132,-6.249746705,465," 193, 194, 194a, 4, 44, 61, 7, 7a, 7d, 904, 910",11," Ashbourne Connect, Dublin Bus, Matthews Coach Hire",3,Pearse Station,Stáis na bPiarsach,1,Pole,No Shelter,Trueform,Trueform,1,1
